Pch4;Pco2;ch4/co2;T;rh2;rco;ch4_conv;co2_conv
50;45;1.11;650;0.15;1.41;52.85;22.58
50;40;1.25;650;0.76;3.48;58.98;31.55
50;35;1.43;650;1.07;4.66;54.36;37.07
50;30;1.67;650;1.44;5.44;57.22;44.56
50;25;2;650;2.28;5.92;58.2;49.63
50;20;2.5;650;3.22;6.54;67.82;60.09
50;15;3.33;650;2.71;6.65;51.39;51.31
50;10;5;650;3.13;7.25;51.5;55.21
50;5;10;650;2.59;7.58;41.45;56.14
5;50;0.05;650;1.73;5.11;32.62;46.46
10;50;0.1;650;1.06;5.35;45.6;56.3
15;50;0.15;650;1.72;5.33;45.52;62.82
20;50;0.2;650;2.34;5.12;39.89;53.29
25;50;0.25;650;2.82;4.6;37.98;64.96
30;50;0.3;650;3.09;4.04;35.69;61.92
35;50;0.35;650;3.08;3.52;34.71;70.76
40;50;0.4;650;3.77;2.66;32.37;76.12
45;50;0.45;650;4.41;1.65;29.16;77.63
50;50;0.5;650;4.4;1.2;23.15;83.05
50;45;1.11;700;0.17;1.41;43.22;17.86
50;40;1.25;700;0.81;3.48;63.78;34.13
50;35;1.43;700;1.65;4.66;68.37;43.01
50;30;1.67;700;2.09;5.44;68;52.74
50;25;2;700;2.9;5.92;67.98;56.92
50;20;2.5;700;3.92;6.54;69.74;60.92
50;15;3.33;700;3.62;6.65;64.1;64.08
50;10;5;700;3.99;7.25;65.92;69.89
50;5;10;700;4.4;7.58;66.95;68.45
5;50;0.05;700;2.33;5.12;48.65;75.48
10;50;0.1;700;2.24;6.76;55.71;67.03
15;50;0.15;700;2.86;6.76;55.64;72.56
20;50;0.2;700;2.94;5.73;54.86;71.99
25;50;0.25;700;3.66;5.6;47.93;82.21
30;50;0.3;700;4.49;4.18;41.75;85.58
35;50;0.35;700;4.91;3.75;40.23;80.41
40;50;0.4;700;5.41;2.27;38.1;90.29
45;50;0.45;700;5.95;2.22;34.46;87.09
50;50;0.5;750;6.26;2.05;28.24;76.91
50;45;1.11;750;0.26;1.82;72.25;37.46
50;40;1.25;750;0.83;4.09;77.39;48.59
50;35;1.43;750;1.88;5.72;79.46;58.07
50;30;1.67;750;2.85;6.5;77.46;64.79
50;25;2;750;3.55;7.31;77.14;68.31
50;20;2.5;750;4.69;7.89;74.8;71.68
50;15;3.33;750;5.17;8.11;74.45;74.63
50;10;5;750;5.48;7.88;69.01;74.57
50;5;10;750;5.66;8.38;52.3;87.61
5;50;0.05;750;6.39;7.16;60.59;69.53
10;50;0.1;750;2.96;8.02;57.23;74.74
15;50;0.15;750;4.08;7.67;55.62;75.6
20;50;0.2;750;5.51;6.8;50.48;76.4
25;50;0.25;750;6.87;6.32;44.2;86.3
30;50;0.3;750;7.79;4.75;41.42;85.71
35;50;0.35;750;8.16;4.1;39.93;90.68
40;50;0.4;750;8.62;3.01;35.7;87.38
45;50;0.45;750;9.52;2.71;32.52;77.67
50;50;0.5;750;10.09;2.48;52.85;22.58
